# 영어 도시 표기명
# 출처: http://www.whypaymore.co.kr/home/Search/PortSearch_more.asp
Shanghai	상하이
Bloomington	블루밍턴
Moline	멀린
Peoria	페오리아
Springfield	스프링필드
Evansville	에번즈빌
Ft Wayne	포트웨인
South Bend	사우스벤드
Wichita	위치토
Manhattan	맨해튼
Lexington	렉싱턴
Paducah	퍼두커
Louisville	루이빌
Alexandria	알렉산드리아
Baton Rouge	배턴루지
Lake Charles	레이크찰스
Lafayette	라피엣
Monroe	먼로
Shreveport	슈리브포트
Baltimore	볼티모어
Bangor	뱅거
Portland	포틀랜드
Alpena	앨피너
Kalamazoo	캘러머주
Detroit	디트로이트
Escanaba	에스커나바
Flint	플린트
Grand Rapids	그랜드 래피즈
Lansing	랜싱
Marquette	마켓
Traverse	트래블스
Bemidji	베미지
Duluth	덜루스
Columbia	컬럼비아
Joplin	졸린
Kansas City	캔자스시티
St Louis	세인트루이스
Gulfport	걸프포트
Jackson	잭슨
Billings	빌링스
Butte	부테
Bozeman	보제맨
Kalispell	칼리스펠
Great Falls	그레이트 폴스
Missoula	미소울라
Asheville	애슈빌
Charlotte	샬럿
New Bern	뉴번
Greensboro	그린즈버러
Wilmington	윌밍턴
Bismarck	비스마르크
Fargo	파고
Omaha	오마하
Manchester	맨체스터
Albuquerque	앨버커큐
Roswell	로스웰
Santa Fe	산타 페
Elko	엘코
Reno	리노
Binghamton	빙햄톤
Buffalo	버팔로
Elmira	엘마이라
White Plains	화이트 플레인스
Rochester	로체스터
Newburgh	뉴버그
Syracuse	시라큐스
Cincinnati	신시내티
Dayton	데이턴
Toledo	토레도
Lawton	라우튼
Oklahoma City	오클라호마시티
Tulsa	툴사
Eugene	유진
Medford	메드퍼드
Redmond	레드몬드
Allentown	앨렌타운
Erie	에리
Harrisburg	해리스버그
Pittsburgh	피츠버그
State College	스테이트칼리지
San Juan	산후앙
Providence	프로비던스
Charleston	찰스턴
Greenville	그린빌
Myrtle Beach	미틀 비치
Rapid City	래피드시티
Chattanooga	채터누가
Memphis	멤피스
Knoxville	녹스빌
Abilene	아빌렌
Waco	와코
Amarillo	아마릴로
Austin	오스틴
Brownsville	브라운즈빌
Corpus Christi	코퍼스크리스티
El Paso	엘파소
Longview	롱뷰
Lubbock	루복
Laredo	라리도
Midland	미드랜드오데사
McAllen	맥컬린
San Antonio	샌안토니오
San Angelo	산안젤로
Wichita Falls	위치타폴스
Tyler	테일러
Cedar City	시더시티
St George	세인트 죠지
Salt Lake City	솔트레이크시티
Charlottesville	샬럿스빌
Newport News	뉴포트뉴스
Richmond	리치먼드
Roanoke	로어노크
Staunton	스톤튼
Burlington	벌링턴
Bellingham	벨링햄
Spokane	스포케인
Pasco	파스코
Appleton	애플턴
Green Bay	그린베이
La Crosse	라크로세
Milwaukee	밀워키
Madison	매디슨
Cody	코디
Casper	카스퍼
Rock Springs	록 스프링스
Montevideo	몬테비데오
Uruguay	우루과이
Bukhara	부하라
Uzbekistan	우즈베키스탄
KARSHI	카르시
NUKUS	누쿠스
Tashkent	타쉬켄트
Caracas	카라카스
Venezuela	베네수엘라
Da Nang	다낭
Nha Trang	나트랑
Sanaa	싸나
Yemen	예맨
Pristina	프리스티나
Yugoslavia	유고슬라비아
Podgorica	포드고리차
Bloemfontein	블룸폰테인
Durban	더반
East London	이스트 런던
George	조지
Kimberley	킴벌리
Nelspruit	넬스푸룻
Port Elizabeth	포트 엘리자베스
Pietersburg	폴로크와네
Pietermaritzburg	피터마리츠버그
Richards Bay	리차드스 베이
Umtata	음타타
Lusaka	루사카
Zambia	잠비아
Goma	고마
Bulawayo	불라와요
Zimbabwe	짐바브웨
Harare	하라레
gap	갭
cat	캣
book	북
apt	앱트
setback	셋백
act	액트
stamp	스탬프
cape	케이프
nest	네스트
part	파트
desk	데스크
make	메이크
apple	애플
mattress	매트리스
bulb	벌브
land	랜드
zigzag	지그재그
lobster	로브스터
kidnap	키드냅
signal	시그널
mask	마스크
jazz	재즈
graph	그래프
olive	올리브
thrill	스릴
bathe	베이드
flash	플래시
shrub	슈러브
shark	샤크
shank	섕크
fashion	패션
sheriff	셰리프
shopping	쇼핑
shoe	슈
shim	심
mirage	미라지
vision	비전
odds	오즈
switch	스위치
bridge	브리지
hitchhike	히치하이크
chart	차트
virgin	버진
steam	스팀
corn	콘
ring	링
lamp	램프
hint	힌트
ink	잉크
hanging	행잉
longing	롱잉
hotel	호텔
pulp	펄프
slide	슬라이드
film	필름
helm	헬름
swoln	스월른
team	팀
route	루트
time	타임
house	하우스
skate	스케이트
oil	오일
boat	보트
tower	타워
word	워드
want	원트
woe	워
wander	완더
wag	왜그
west	웨스트
witch	위치
wool	울
swing	스윙
twist	트위스트
penguin	펭귄
whistle	휘슬
quarter	쿼터
yard	야드
yank	얭크
yearn	연
yellow	옐로
yawn	욘
you	유
year	이어
battalion	버탤리언
union	유니언
cuplike	컵라이크
bookend	북엔드
headlight	헤드라이트
touchwood	터치우드
bookmaker	북메이커
flashgun	플래시건
topknot	톱놋
