# 위키낱말사전의 '분류:한국어 외래어' 중 영어단어만 추출
# https://ko.wiktionary.org/wiki/%EB%B6%84%EB%A5%98:%ED%95%9C%EA%B5%AD%EC%96%B4_%EC%99%B8%EB%9E%98%EC%96%B4
gadolinium	가돌리늄
meerkat	미어캣
metre	미터
meeting	미팅
mixer	믹서
milligram	밀리그램
bar	바
banana	바나나
vanadium	바나듐
vanilla	바닐라
barometer	바로미터
barium	바륨
barricade	바리케이드
baritone	바리톤
barbell	바벨
barbecue	바비큐
bound	바운드
virus	바이러스
buyer	바이어
bio	바이오
biotechnology	바이오테크놀로지
violinist	바이올리니스트
violin	바이올린
byte	바이트
barge	바지
bartender	바텐더
box	박스
bacteria	박테리아
vandalism	반달리즘
ballad	발라드
badminton	배드민턴
battery	배터리
bat	배트
bag	백
vaccine	백신
vampire	뱀파이어
bug	버그
bus	버스
version	버전
berkelium	버클륨
butter	버터
button	버튼
bed scene	베드신
veranda	베란다
beryllium	베릴륨
bestseller	베스트셀러
babysitter	베이비시터
baseball	베이스볼
bench	벤치
board game	보드게임
bodyguard	보디가드
bodybuilding	보디빌딩
bohrium	보륨
boy	보이
boycott	보이콧
boat	보트
boxing	복싱
ball	볼
volume	볼륨
booby trap	부비트랩
bulldozer	불도저
blouse	브라우스
browser	브라우저
brassiere	브래지어
brandy	브랜디
brake	브레이크
blouse	블라우스
black	블랙
black hole	블랙홀
blazar	블레이자
blog	블로그
blueberry	블루베리
blue ocean	블루오션
blue	블루
blue-collar	블루칼라
Venus	비너스
vinyl	비닐
video game	비디오게임
beaver	비버
beach volleyball	비치발리볼
bikini	비키니
Big Bang	빅뱅
vintage	빈티지
building	빌딩
bilberry	빌베리
sadist	사디스트
samarium	사마륨
savanna	사바나
sound	사운드
cider	사이다
siren	사이렌
cyber	사이버
size	사이즈
psycho	사이코
cycle	사이클
cyclone	사이클론
Psyche	사이키
site	사이트
sign	사인
saccharin	사카린
safari	사파리
sapphire	사파이어
sash	새시
sandwich	샌드위치
sandal	샌들
salvia	샐비어
shower	샤워
shampoo	샴푸
server	서버
serve	서브
service	서비스
serviceman	서비스맨
circus	서커스
sunglasses	선글라스
serenade	세레나데
cerium	세륨
seminar	세미나
sale	세일
sequoia	세쿼이아
sense	센스
center	센터
centimeter	센티미터
celery	셀러리
self	셀프
sherbet	셔벗
shirt	셔츠
shutter	셔터
shuttle	셔틀
shuttlecock	셔틀콕
sauce	소스
sausage	소시지
socket	소켓
sofa	소파
software	소프트웨어
chauvinism	쇼비니즘
short	쇼트
shopping	쇼핑
sumac	수마크
soup	수프
shield	쉴드
supermarket	슈퍼마켓
smartphone	스마트폰
smog	스모그
scout	스카우트
scandium	스칸듐
skate	스케이트
ski	스키
skinny jeans	스키니진
style	스타일
standbar	스탠드바
steak	스테이크
stained glass	스테인드글라스
stainless	스테인리스
rubidium	스트론튬
spy	스파이
spike	스파이크
spade	스페이드
space	스페이스
spoiler	스포일러
sports	스포츠
sports car	스포츠카
spoon	스푼
speaker	스피커
scenario	시나리오
synergy	시너지
cement	시멘트
system	시스템
cyan	시안
Caesar	시저
sheet	시트
xylophone	실로폰
symposium	심포지엄
announcer	아나운서
argon	아르곤
armadillo	아르마딜로
amaryllis	아마릴리스
amateur	아마추어
americium	아메리슘
amoeba	아메바
almond	아몬드
avocado	아보카도
acetate	아세테이트
acetaldehyde	아세트알데히드
ASCII	아스키
astatine	아스타틴
asphalt	아스팔트
outline	아우트라인
out	아웃
outsider	아웃사이더
outside	아웃사이드
ID	아이디
idea	아이디어
irony	아이러니
ivory	아이보리
ice	아이스
icebox	아이스박스
ice cream	아이스크림
ice hockey	아이스하키
iodine	아이오딘
icon	아이콘
IQ	아이큐
einsteinium	아인슈타이늄
einsteinium	아인시타이늄
arch	아치
academy	아카데미
acacia	아카시아
accordion	아코디언
acrylic	아크릴
apartment	아파트
aporia	아포리아
aphorism	아포리즘
actinium	악티늄
antenna	안테나
antique	안티크
algorithm	알고리듬
aldehyde	알데히드
allegory	알레고리
aloe	알로에
aluminium	알루미늄
aluminium	알루미니움
alibi	알리바이
albino	알비노
alkaloid	알칼로이드
alkali	알칼리
alcohol	알코올
ammonia	암모니아
ampere	암페어
anagram	애너그램
animation	애니메이션
aquatint	애쿼틴트
application	애플리케이션
anthology	앤솔러지
album	앨범
altruism	앨트루이즘
ambulance	앰뷸런스
yard	야드
under	언더
upgrade	업그레이드
egoism	에고이즘
energy	에너지
error	에러
erbium	에르븀
escalator	에스컬레이터
estrogen	에스트로겐
AIDS	에이즈
alien	에일리언
episode	에피소드
engine	엔진
enterovirus	엔테로바이러스
entropy	엔트로피
elevator	엘리베이터
elf	엘프
MC	엠시
yellow card	옐로카드
orange	오렌지
aurora	오로라
original	오리지널
oven	오븐
osmium	오스뮴
oasis	오아시스
opal	오팔
opera	오페라
operetta	오페레타
on-line	온라인
online gam	온라인게임
all game	올게임
oligomer	올리고머
olive	올리브
Olympic	올림픽
wine	와인
waltz	왈츠
yogurt	요구르트
uranium	우라늄
uranium	우라니움
waterbuck	워터벅
waiter	웨이터
waitress	웨이트리스
whisky	위스키
Unicode	유니코드
unicorn	유니콘
euro	유로
europium	유로퓸
yurt	유르트
humour	유머
igloo	이글루
iridium	이리듐
image	이미지
ytterbium	이테르븀
yttrium	이트륨
instant	인스턴트
inch	인치
incubator	인큐베이터
Internet	인터넷
interview	인터뷰
intern	인턴
influenza	인플루엔자
ink	잉크
gyroscope	자이로스코프
jaguar	재규어
jazz	재즈
jam	잼
zero	제로
zero game	제로게임
gesture	제스처
joker	조커
juice	주스
zigzag	지그재그
zirconium	지르코늄
jeep	지프
channel	채널
cherry	체리
chess	체스
chain	체인
chocolate	초콜릿
cheese	치즈
chicken	치킨
cheetah	치타
chimpanzee	침팬지
carnation	카네이션
canon	캐논
carnival	카니발
card	카드
cadmium	카드뮴
cardigan	카디건
curry	카레
cameraman	카메라맨
chameleon	카멜레온
carbon	카본
cassette	카세트
caste	카스트
cowboy	카우보이
countdown	카운트다운
khaki	카키
cartridge	카트리지
caffeine	카페인
carpet	카펫
cocktail	칵테일
canna	칸나
collar	칼라
column	칼럼
columnist	칼럼니스트
calorie	칼로리
californium	칼리포르늄
calcium	칼슘
caraway	캐러웨이
caricature	캐리커처
caviar	캐비어
canvas	캔버스
campus	캠퍼스
cover	커버
curtain	커튼
coffee	커피
condition	컨디션
color television	컬러텔레비전
compass	컴퍼스
computer game	컴퓨터게임
cup	컵
cable	케이블
cake	케이크
corner	코너
codec	코덱
code	코드
cobalt	코발트
cobra	코브라
cosmos	코스모스
cos	코스어
coach	코치
condominium	콘도미니엄
condom	콘돔
concert	콘서트
concrete	콘크리트
cola	콜라
comma	콤마
cushion	쿠션
cookie	쿠키
quasar	퀘이사
quiz	퀴즈
cue	큐
curator	큐레이터
chronometer	크로노미터
chromium	크로뮴
Christmas	크리스마스
crystal	크리스털
cricket	크리켓
cream	크림
krypton	크립톤
xanthine	잔틴
clarinet	클라리넷
climax	클라이맥스
class	클래스
classic	클래식
clutch	클러치
club	클럽
clover	클로버
close-up	클로즈업
clitoris	클리토리스
click	클릭
clip	클립
key	키
keyboard	키보드
kiss	키스
kiwi	키위
kick	킥
kickboxing	킥복싱
kilo	킬로
kilogram	킬로그램
kilometer	킬로미터
kilobyte	킬로바이트
kilowatt	킬로와트
kilohertz	킬로헤르츠
tower	타워
tire	타이어
tarp	타프
taxi	택시
tango	탱고
tank	탱크
tunnel	터널
terminal	터미널
touch screen	터치스크린
tunnel	턴넬
tungsten	텅스텐
tennis	테니스
terror	테러
terrorism	테러리즘
terbium	테르븀
testosterone	테스토스테론
test	테스트
table	테이블
technetium	테크네튬
text	텍스트
tent	텐트
television	텔레비전
television game	텔레비전게임
telephone	텔레폰
template	템플릿
thorium	토륨
tomato	토마토
toast	토스트
ton	톤
thulium	툴륨
tulip	튜리프
tulip	튤립
tractor	트랙터
transistor	트랜지스터
truck	트럭
trunk	트렁크
trailer	트레일러
trend	트렌드
TV	티브이
T-shirt	티셔츠
ticket	티켓
titanium	티타늄
typhus	티푸스
tip	팁
pagoda	파고다
panorama	파노라마
paradise	파라다이스
pharaoh	파라오
paraffin	파라핀
pastel	파스텔
parsley	파슬리
fascist	파시스트
fascism	파시즘
foundation	파운데이션
pound	파운드
power	파워
fighting	파이팅
pipe	파이프
pipeline	파이프라인
pineapple	파인애플
pajama	파자마
partner	파트너
party	파티
papyrus	파피루스
fantasy	판타지
palladium	팔라듐
pop song	팝송
parody	패러디
fashion	패션
fashion model	패션모델
pass	패스
patch	패치
fax	팩스
pancake	팬케이크
panties	팬티
pamphlet	팸플릿
percent	퍼센트
pulsar	펄서
pulp	펄프
pump	펌프
pedal	페달
fermium	페르뮴
Persia	페르시아
femidom	페미돔
festival	페스티발
page	페이지
paint	페인트
pen	펜
pincers	펜치
penguin	펭귄
poster	포스터
point	포인트
fork	포크
polonium	폴로늄
pudding	푸딩
pool	풀
futsal	풋살
praseodymium	프라세오디뮴
fry	프라이
privacy	프라이버시
frypan	프라이팬
francium	프랑슘
professional	프로
program	프로그램
promethium	프로메튬
project	프로젝트
protactinium	프로트악티늄
freelancer	프리랜서
printer	프린터
flask	플라스크
plastic	플라스틱
plus	플러스
fluorine	플루오린
plutonium	플루토늄
flute	플루트
pyramid	피라미드
pianist	피아니스트
feet	피트
pin	핀
pint	핀트
field hockey	필드하키
pilaf	필라프
film	필름
ping-pong	핑퐁
hard disk	하드디스크
hardware	하드웨어
hassium	하슘
hyena	하이에나
hockey	하키
hafnium	하프늄
hot dog	핫도그
hacker	해커
handbag	핸드백
handball	핸드볼
handle	핸들
handicap	핸디캡
hamburger	햄버거
hamster	햄스터
honeymoon	허니문
hurdle	허들
hurricane	허리케인
herb	허브
hegemony	헤게모니
headline	헤드라인
hertz	헤르쯔
heavy metal	헤비메탈
hair dryer	헤어드라이어
hectare	헥타르
helium	헬륨
helicopter	헬리콥터
helmet	헬멧
homo	호모
hose	호스
hostess	호스티스
hotel	호텔
hall	홀
holmium	홀뮴
home	홈런
homepage	홈페이지
white-collar	화이트칼라
whistle	휘슬
wheelchair	휠체어
histogram	히스토그램
Hispanic	히스패닉
hit	히트
hint	힌트
